id,Nazwa produktu,Producent,id,actual,Jednostka ceny,Waga,Średnica,Długość,Szerokość,Wysokość,Grubość,Typ pakowania,Jednostki zakupu ,
1,TOPROCK SUPER,ROCKWOOL,1,1,M2,,,5000,1000,,100,rolka,1,pełna paleta
1,TOPROCK SUPER,ROCKWOOL,2,1,M2,,,4500,1000,,120,rolka,1,pełna paleta
1,TOPROCK SUPER,ROCKWOOL,3,1,M2,,,3500,1000,,150,rolka,1,pełna paleta
1,TOPROCK SUPER,ROCKWOOL,4,1,M2,,,2500,1000,,180,rolka,1,pełna paleta
1,TOPROCK SUPER,ROCKWOOL,5,1,M2,,,2500,1000,,200,rolka,1,pełna paleta
2,SUPERROCK,ROCKWOOL,6,1,M2,,,1000,610,,50,paczka,1,pełna paleta
2,SUPERROCK,ROCKWOOL,7,1,M2,,,1000,610,,60,paczka,1,pełna paleta
2,SUPERROCK,ROCKWOOL,8,1,M2,,,1000,610,,80,paczka,1,pełna paleta
2,SUPERROCK,ROCKWOOL,9,1,M2,,,1000,610,,100,paczka,1,pełna paleta
2,SUPERROCK,ROCKWOOL,10,1,M2,,,1000,610,,120,paczka,1,pełna paleta
2,SUPERROCK,ROCKWOOL,11,1,M2,,,1000,610,,150,paczka,1,pełna paleta
2,SUPERROCK,ROCKWOOL,12,1,M2,,,1000,610,,160,paczka,1,pełna paleta
2,SUPERROCK,ROCKWOOL,13,1,M2,,,1000,610,,200,paczka,1,pełna paleta
3,MEGAROCK PLUS,ROCKWOOL,14,1,M2,,,6000,1000,,100,rolka,1,pełna paleta
3,MEGAROCK PLUS,ROCKWOOL,15,1,M2,,,4000,1000,,150,rolka,1,pełna paleta
3,MEGAROCK PLUS,ROCKWOOL,16,1,M2,,,3500,1000,,180,rolka,1,pełna paleta
3,MEGAROCK PLUS,ROCKWOOL,17,1,M2,,,3000,1000,,200,rolka,1,pełna paleta
4,ROCKMIN PLUS,ROCKWOOL,18,1,M2,,,1000,610,,50,paczka,1,pełna paleta
4,ROCKMIN PLUS,ROCKWOOL,19,1,M2,,,1000,610,,60,paczka,1,pełna paleta
4,ROCKMIN PLUS,ROCKWOOL,20,1,M2,,,1000,610,,70,paczka,1,pełna paleta
4,ROCKMIN PLUS,ROCKWOOL,21,1,M2,,,1000,610,,80,paczka,1,pełna paleta
4,ROCKMIN PLUS,ROCKWOOL,22,1,M2,,,1000,610,,100,paczka,1,pełna paleta
4,ROCKMIN PLUS,ROCKWOOL,23,1,M2,,,1000,610,,120,paczka,1,pełna paleta
4,ROCKMIN PLUS,ROCKWOOL,24,1,M2,,,1000,610,,140,paczka,1,pełna paleta
4,ROCKMIN PLUS,ROCKWOOL,25,1,M2,,,1000,610,,150,paczka,1,pełna paleta
4,ROCKMIN PLUS,ROCKWOOL,26,1,M2,,,1000,610,,160,paczka,1,pełna paleta
4,ROCKMIN PLUS,ROCKWOOL,27,1,M2,,,1000,610,,180,paczka,1,pełna paleta
4,ROCKMIN PLUS,ROCKWOOL,28,1,M2,,,1000,610,,200,paczka,1,pełna paleta
5,UNIROCK,ROCKWOOL,29,1,M2,,,1000,610,,50,paczka,1,pełna paleta
5,UNIROCK,ROCKWOOL,30,1,M2,,,1000,610,,70,paczka,1,pełna paleta
5,UNIROCK,ROCKWOOL,31,1,M2,,,1000,610,,100,paczka,1,pełna paleta
5,UNIROCK,ROCKWOOL,32,1,M2,,,1000,610,,150,paczka,1,pełna paleta
6,Wspornik nakrokwiowy,ROCKWOOL,33,1,szt,,,,180,,,,80,szt
6,Wspornik nakrokwiowy,ROCKWOOL,34,1,szt,,,,120,,,,80,szt
7,ROCKTECT Intello Climate Plus,ROCKWOOL,35,1,M2,,,5000,1500,,0.4,,,
8,ROCKTECT Twinline,ROCKWOOL,36,1,szt,,,25000,6,,,,,
10,ROCKSONIC SUPER,ROCKWOOL,38,1,M2,,,1000,610,,50,paczka,1,pełna paleta
10,ROCKSONIC SUPER,ROCKWOOL,39,1,M2,,,1000,610,,75,paczka,1,pełna paleta
10,ROCKSONIC SUPER,ROCKWOOL,40,1,M2,,,1000,610,,100,paczka,1,pełna paleta
11,ROCKTON,ROCKWOOL,41,1,M2,,,1000,610,,40,paczka,1,pełna paleta
11,ROCKTON,ROCKWOOL,42,1,M2,,,1000,610,,50,paczka,1,pełna paleta
11,ROCKTON,ROCKWOOL,43,1,M2,,,1000,610,,60,paczka,1,pełna paleta
11,ROCKTON,ROCKWOOL,44,1,M2,,,1000,610,,70,paczka,1,pełna paleta
11,ROCKTON,ROCKWOOL,45,1,M2,,,1000,610,,80,paczka,1,pełna paleta
11,ROCKTON,ROCKWOOL,46,1,M2,,,1000,610,,100,paczka,1,pełna paleta
11,ROCKTON,ROCKWOOL,47,1,M2,,,1000,610,,120,paczka,1,pełna paleta
11,ROCKTON,ROCKWOOL,48,1,M2,,,1000,610,,140,paczka,1,pełna paleta
11,ROCKTON,ROCKWOOL,49,1,M2,,,1000,610,,150,paczka,1,pełna paleta
11,ROCKTON,ROCKWOOL,50,1,M2,,,1000,610,,180,paczka,1,pełna paleta
11,ROCKTON,ROCKWOOL,51,1,M2,,,1000,610,,200,paczka,1,pełna paleta
12,STEPROCK HD,ROCKWOOL,52,1,M2,,,1000,600,,20,paczka,1,pełna paleta
12,STEPROCK HD,ROCKWOOL,53,1,M2,,,1000,600,,30,paczka,1,pełna paleta
12,STEPROCK HD,ROCKWOOL,54,1,M2,,,1000,600,,40,paczka,1,pełna paleta
12,STEPROCK HD,ROCKWOOL,55,1,M2,,,1000,600,,50,paczka,1,pełna paleta
12,STEPROCK HD,ROCKWOOL,56,1,M2,,,1000,600,,100,paczka,1,pełna paleta
13,STEPROCK HD4F,ROCKWOOL,57,1,M2,,,1000,600,,30,paczka,1,pełna paleta
13,STEPROCK HD4F,ROCKWOOL,58,1,M2,,,1000,600,,40,paczka,1,pełna paleta
13,STEPROCK HD4F,ROCKWOOL,59,1,M2,,,1000,600,,50,paczka,1,pełna paleta
16,FIREROCK,ROCKWOOL,62,1,M2,,,1000,600,,25,karton,1,pełna paleta
16,FIREROCK,ROCKWOOL,63,1,M2,,,1000,600,,30,karton,1,pełna paleta
17,FRONTROCK PLUS,ROCKWOOL,64,1,M2,,,1000,600,,50,paczka,1,pełna paleta
17,FRONTROCK PLUS,ROCKWOOL,65,1,M2,,,1000,600,,60,paczka,1,pełna paleta
17,FRONTROCK PLUS,ROCKWOOL,66,1,M2,,,1000,600,,80,paczka,1,pełna paleta
17,FRONTROCK PLUS,ROCKWOOL,67,1,M2,,,1000,600,,100,paczka,1,pełna paleta
17,FRONTROCK PLUS,ROCKWOOL,68,1,M2,,,1000,600,,120,paczka,1,pełna paleta
17,FRONTROCK PLUS,ROCKWOOL,69,1,M2,,,1000,600,,140,paczka,1,pełna paleta
