Nazwa produktu,Producent,actual,Jednostka ceny,Waga,Średnica,Długość,Szerokość,Wysokość,Grubość,Typ pakowania,Jednostki zakupu ,jednostki_magazynowe
TOPROCK SUPER,ROCKWOOL,1,M2,,,5000,1000,,100,rolka,1,pełna paleta
TOPROCK SUPER,ROCKWOOL,1,M2,,,4500,1000,,120,rolka,1,pełna paleta
TOPROCK SUPER,ROCKWOOL,1,M2,,,3500,1000,,150,rolka,1,pełna paleta
TOPROCK SUPER,ROCKWOOL,1,M2,,,2500,1000,,180,rolka,1,pełna paleta
TOPROCK SUPER,ROCKWOOL,1,M2,,,2500,1000,,200,rolka,1,pełna paleta
SUPERROCK,ROCKWOOL,1,M2,,,1000,610,,50,paczka,1,pełna paleta
SUPERROCK,ROCKWOOL,1,M2,,,1000,610,,60,paczka,1,pełna paleta
SUPERROCK,ROCKWOOL,1,M2,,,1000,610,,80,paczka,1,pełna paleta
SUPERROCK,ROCKWOOL,1,M2,,,1000,610,,100,paczka,1,pełna paleta
SUPERROCK,ROCKWOOL,1,M2,,,1000,610,,120,paczka,1,pełna paleta
SUPERROCK,ROCKWOOL,1,M2,,,1000,610,,150,paczka,1,pełna paleta
SUPERROCK,ROCKWOOL,1,M2,,,1000,610,,160,paczka,1,pełna paleta
SUPERROCK,ROCKWOOL,1,M2,,,1000,610,,200,paczka,1,pełna paleta
MEGAROCK PLUS,ROCKWOOL,1,M2,,,6000,1000,,100,rolka,1,pełna paleta
MEGAROCK PLUS,ROCKWOOL,1,M2,,,4000,1000,,150,rolka,1,pełna paleta
MEGAROCK PLUS,ROCKWOOL,1,M2,,,3500,1000,,180,rolka,1,pełna paleta
MEGAROCK PLUS,ROCKWOOL,1,M2,,,3000,1000,,200,rolka,1,pełna paleta
ROCKMIN PLUS,ROCKWOOL,1,M2,,,1000,610,,50,paczka,1,pełna paleta
ROCKMIN PLUS,ROCKWOOL,1,M2,,,1000,610,,60,paczka,1,pełna paleta
ROCKMIN PLUS,ROCKWOOL,1,M2,,,1000,610,,70,paczka,1,pełna paleta
ROCKMIN PLUS,ROCKWOOL,1,M2,,,1000,610,,80,paczka,1,pełna paleta
ROCKMIN PLUS,ROCKWOOL,1,M2,,,1000,610,,100,paczka,1,pełna paleta
ROCKMIN PLUS,ROCKWOOL,1,M2,,,1000,610,,120,paczka,1,pełna paleta
ROCKMIN PLUS,ROCKWOOL,1,M2,,,1000,610,,140,paczka,1,pełna paleta
ROCKMIN PLUS,ROCKWOOL,1,M2,,,1000,610,,150,paczka,1,pełna paleta
ROCKMIN PLUS,ROCKWOOL,1,M2,,,1000,610,,160,paczka,1,pełna paleta
ROCKMIN PLUS,ROCKWOOL,1,M2,,,1000,610,,180,paczka,1,pełna paleta
ROCKMIN PLUS,ROCKWOOL,1,M2,,,1000,610,,200,paczka,1,pełna paleta
UNIROCK,ROCKWOOL,1,M2,,,1000,610,,50,paczka,1,pełna paleta
UNIROCK,ROCKWOOL,1,M2,,,1000,610,,70,paczka,1,pełna paleta
UNIROCK,ROCKWOOL,1,M2,,,1000,610,,100,paczka,1,pełna paleta
UNIROCK,ROCKWOOL,1,M2,,,1000,610,,150,paczka,1,pełna paleta
Wspornik nakrokwiowy,ROCKWOOL,1,szt,,,,180,,,,80,szt
Wspornik nakrokwiowy,ROCKWOOL,1,szt,,,,120,,,,80,szt
ROCKTECT Intello Climate Plus,ROCKWOOL,1,M2,,,5000,1500,,0.4,,,
ROCKTECT Twinline,ROCKWOOL,1,szt,,,25000,6,,,,,
ROCKSONIC SUPER,ROCKWOOL,1,M2,,,1000,610,,50,paczka,1,pełna paleta
ROCKSONIC SUPER,ROCKWOOL,1,M2,,,1000,610,,75,paczka,1,pełna paleta
ROCKSONIC SUPER,ROCKWOOL,1,M2,,,1000,610,,100,paczka,1,pełna paleta
ROCKTON,ROCKWOOL,1,M2,,,1000,610,,40,paczka,1,pełna paleta
ROCKTON,ROCKWOOL,1,M2,,,1000,610,,50,paczka,1,pełna paleta
ROCKTON,ROCKWOOL,1,M2,,,1000,610,,60,paczka,1,pełna paleta
ROCKTON,ROCKWOOL,1,M2,,,1000,610,,70,paczka,1,pełna paleta
ROCKTON,ROCKWOOL,1,M2,,,1000,610,,80,paczka,1,pełna paleta
ROCKTON,ROCKWOOL,1,M2,,,1000,610,,100,paczka,1,pełna paleta
ROCKTON,ROCKWOOL,1,M2,,,1000,610,,120,paczka,1,pełna paleta
ROCKTON,ROCKWOOL,1,M2,,,1000,610,,140,paczka,1,pełna paleta
